x;y;z;normal_x;normal_y;normal_z;camera_posx;camera_posy;camera_posz;camera_rotx;camera_roty;camera_rotz
-16.49303;6.579069;13.39555;-0.850166;1.421085e-14;-0.5265148;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-16.49372;6.647906;13.39667;-0.850166;1.421085e-14;-0.5265148;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-4.909956;8.77682;19.42551;-0.8512809;-0.009772049;-0.5246192;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-11.17984;8.248309;18.42183;-1.0;0.0;0.0;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-16.53587;6.662228;13.46473;-0.850166;1.421085e-14;-0.5265148;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-6.770808;8.452486;22.45147;-0.8519924;-0.004661934;-0.5235333;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-9.115211;6.27449;21.25056;-0.8496287;8.881784e-16;-0.5273812;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-16.54922;6.449434;13.48629;-0.850166;1.421085e-14;-0.5265148;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-16.43311;6.440917;13.2988;-0.850166;1.421085e-14;-0.5265148;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-10.38638;6.134965;14.41511;-0.850166;1.421085e-14;-0.5265148;-16.83538;6.577082;13.20396;358.7668;56.12043;0.0
-9.259594;5.109681;12.78168;-0.9353199;0.2497325;-0.2506198;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-9.255093;5.109188;12.90227;-0.9353214;0.249732;0.250615;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-9.163907;5.460248;12.89276;-0.9353181;0.2497349;0.250624;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-9.141703;4.973161;12.84142;-0.7193533;-0.6946445;-3.036387e-08;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-9.123737;5.024415;12.80917;-0.7195705;0.6944194;3.035404e-08;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-9.322334;4.851836;12.60704;-1.0;0.0;0.0;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-4.006476;4.51056;11.20351;-0.6857591;0.01640482;0.7276437;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-9.303123;4.744949;12.7737;-1.0;0.0;0.0;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-8.772444;4.437138;13.06839;-1.0;0.0;0.0;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-2.720516;7.263357;13.72962;-0.9205521;0.02355133;0.3899092;-10.41083;5.192889;12.7879;0.5805166;88.89613;0.0
-9.169559;5.149033;15.14561;-0.850166;1.421085e-14;-0.5265148;-10.00912;5.192889;12.29624;359.7083;26.71997;-6.670192e-09
-9.166245;5.768352;15.14026;-0.850166;1.421085e-14;-0.5265148;-10.00912;5.192889;12.29624;359.7083;26.71997;-6.670192e-09
-8.035872;6.651662;19.51171;-0.8496287;8.881784e-16;-0.5273812;-10.00912;5.192889;12.29624;359.7083;26.71997;-6.670192e-09
-8.530178;6.648741;20.30805;-0.8496287;8.881784e-16;-0.5273812;-10.00912;5.192889;12.29624;359.7083;26.71997;-6.670192e-09
-9.180503;4.80077;15.16328;-0.850166;1.421085e-14;-0.5265148;-10.00912;5.192889;12.29624;359.7083;26.71997;-6.670192e-09
-9.645568;4.005737;13.20489;0.03797066;-3.552714e-15;0.9992789;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-10.33562;3.865098;11.69871;-0.5264371;0.01718466;0.8500405;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-9.661895;3.999817;12.44094;0.03797066;-3.552714e-15;0.9992789;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-10.37513;3.77635;8.49622;-0.06616944;0.3803321;0.9224799;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-13.32278;6.122647;7.46688;0.7093456;-0.02213462;0.7045132;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-10.25951;4.676656;12.48249;0.0287236;-7.227756e-05;0.9995874;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-13.33488;6.725925;7.499237;0.7282121;-0.02381065;0.6849381;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-10.47737;3.994452;13.24197;0.03862712;0.004010726;0.9992456;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-10.49361;4.156662;13.24195;0.03862712;0.004010726;0.9992456;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-17.6583;4.448975;8.870424;0.7344586;0.01541107;0.6784785;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-10.52229;4.091765;12.46862;0.03694274;-0.003957006;0.9993095;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-10.2901;4.182626;12.45271;0.03797066;-3.552714e-15;0.9992789;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-13.36449;4.543;7.609873;0.7091933;-0.08125813;0.7003156;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-10.13254;3.950471;11.6395;0.850166;-1.421085e-14;0.5265148;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-9.314403;4.018764;13.08332;0.0;-4.371139e-08;1.0;-9.310736;4.106602;14.01172;0.3393136;205.5208;0.0
-7.09641;5.081112;19.641;-0.9979991;-0.01036082;-0.06237493;-7.482157;5.093319;19.51977;1.420076;68.00703;0.0
-5.381667;5.074662;20.29102;-0.850166;1.421085e-14;-0.5265148;-7.482157;5.093319;19.51977;1.420076;68.00703;0.0
-5.348388;4.827606;20.23728;-0.850166;1.421085e-14;-0.5265148;-7.482157;5.093319;19.51977;1.420076;68.00703;0.0
-5.032279;5.88631;19.72686;-0.850166;1.421085e-14;-0.5265148;-7.482157;5.093319;19.51977;1.420076;68.00703;0.0
-6.792633;5.284438;19.38287;-0.7728308;-0.2852607;-0.5668851;-7.482157;5.093319;19.51977;1.420076;68.00703;0.0
-6.63063;5.253927;19.52512;-0.7643148;0.2709924;0.5851377;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-6.677179;5.385337;19.49061;-0.4814992;-0.3810987;0.7892543;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-6.629546;5.263453;19.51995;-0.8158267;0.4310854;0.3854765;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-6.730187;5.305439;19.44471;-0.6561241;0.3494903;0.6688481;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-6.798852;5.315665;19.38466;-0.8144539;0.0156202;-0.580018;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-4.431937;4.651453;17.97128;-0.5076917;0.01519605;0.8614048;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-5.383276;5.119875;20.29362;-0.850166;1.421085e-14;-0.5265148;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-0.3885956;4.256059;20.98368;-0.8851241;0.001040728;-0.4653537;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-4.381062;5.343259;21.63676;-0.7080338;0.07552064;-0.7021288;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-1.42511;4.70458;20.38186;-0.8709428;0.0001659659;-0.4913844;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-5.005285;5.163786;19.78437;-0.5265148;4.371142e-08;0.850166;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-5.760785;5.253073;20.90318;-0.850166;1.421085e-14;-0.5265148;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-5.76009;5.66645;20.90206;-0.850166;1.421085e-14;-0.5265148;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-4.45968;5.809256;21.75329;-0.7035735;-0.07060084;-0.7071066;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-5.385153;6.391609;20.29665;-0.850166;1.421085e-14;-0.5265148;-7.392416;5.485554;19.72224;3.861639;81.63857;0.0
-5.328379;6.514517;20.39491;0.850166;-1.421085e-14;0.5265148;-4.982813;6.494418;20.56292;2.949945;242.5592;1.068633e-07
-5.328338;6.568423;20.39484;0.850166;-1.421085e-14;0.5265148;-4.982813;6.494418;20.56292;2.949945;242.5592;1.068633e-07
-5.29283;6.56541;20.33751;0.850166;-1.421085e-14;0.5265148;-4.982813;6.494418;20.56292;2.949945;242.5592;1.068633e-07
-5.483018;6.611079;20.1617;0.8496287;-8.881784e-16;0.5273812;-4.982813;6.494418;20.56292;2.949945;242.5592;1.068633e-07
-5.239923;6.376648;20.25208;0.850166;-1.421085e-14;0.5265148;-4.982813;6.494418;20.56292;2.949945;242.5592;1.068633e-07
-4.107473;3.907983;15.83683;-0.529478;0.0;0.8483238;-4.117994;3.932425;16.25019;353.6492;205.6904;0.0
-4.104101;4.010512;15.83893;-0.529478;0.0;0.8483238;-4.117994;3.932425;16.25019;353.6492;205.6904;0.0
-4.111301;4.012048;15.83444;-0.529478;0.0;0.8483238;-4.117994;3.932425;16.25019;353.6492;205.6904;0.0
-6.450937;5.30283;13.98502;0.8461576;-0.03051231;0.5320587;-4.117994;3.932425;16.25019;353.6492;205.6904;0.0
-6.460287;5.104145;13.98849;0.8461576;-0.03051231;0.5320587;-4.117994;3.932425;16.25019;353.6492;205.6904;0.0
-2.835611;6.444966;16.42436;-0.5262647;0.03081683;0.8497622;-3.731934;6.536444;16.93995;1.051123;95.62879;0.0
-2.625537;7.084075;17.2598;-0.8710646;-4.371141e-08;-0.4911686;-3.731934;6.536444;16.93995;1.051123;95.62879;0.0
-0.1306114;8.304499;17.89568;-0.8720402;0.01589428;-0.489176;-3.731934;6.536444;16.93995;1.051123;95.62879;0.0
-0.736587;6.560041;14.0408;-0.4911686;2.664535e-14;0.8710645;-3.731934;6.536444;16.93995;1.051123;95.62879;0.0
-0.7314172;6.237068;14.04372;-0.4911686;2.664535e-14;0.8710645;-3.731934;6.536444;16.93995;1.051123;95.62879;0.0
-2.487763;4.995652;19.82265;-0.8481626;0.001310249;-0.5297344;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
-2.469005;5.000689;19.75443;-0.5778968;0.003429099;0.8161026;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
-2.940087;5.099496;19.66181;-0.4880944;-0.002885799;0.8727861;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
4.97469;9.77017;8.972564;-0.09133644;-0.9256125;0.3672864;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
6.04868;9.753145;9.523726;-0.09133466;-0.9256139;0.367283;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
-1.43182;5.47495;20.39401;-0.8709428;0.0001659659;-0.4913844;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
-0.3836179;4.911727;20.97627;-0.8719281;0.002228831;-0.489629;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
-0.3747182;5.708236;20.96405;-0.8719281;0.002228831;-0.489629;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
1.808645;5.146761;19.99353;-0.6892797;-0.03285037;0.7237502;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
-1.868379;5.083779;20.26411;-0.4928892;0.0298425;0.8695801;-3.490191;4.974;20.38045;2.561857;109.4174;0.0
-3.347877;3.166699;12.40544;0.3471203;0.1642157;0.9233313;-2.040654;3.734305;17.08367;7.864789;214.1804;0.0
-2.767139;3.741848;13.92936;-0.6891695;0.1106578;0.7161008;-2.040654;3.734305;17.08367;7.864789;214.1804;0.0
-3.319479;3.658972;12.06229;0.28325;0.5372899;0.7944111;-2.040654;3.734305;17.08367;7.864789;214.1804;0.0
-2.642578;3.542736;16.25322;0.8473334;-0.02218953;0.5305976;-2.040654;3.734305;17.08367;7.864789;214.1804;0.0
-4.671195;2.869972;13.27887;0.8413577;0.180366;0.5094951;-2.040654;3.734305;17.08367;7.864789;214.1804;0.0
-1.126113;3.254142;17.58798;-0.9514531;0.3077939;0.0;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.4494284;3.058465;17.84743;-0.8874151;0.1498482;-0.4359359;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-1.125692;3.255446;17.61122;-0.9514531;0.3077939;0.0;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.4563927;3.052905;17.8696;-0.9764501;0.1508471;-0.1542416;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
1.858791;2.97899;19.2501;-0.9907345;0.0;-0.1358134;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
1.867476;3.401728;19.2747;-0.8141135;0.569881;-0.1116016;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
2.745835;3.535384;19.93693;-0.6966373;0.09878578;-0.7105898;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.336737;3.148881;17.42701;-0.9277838;-0.003060527;0.3731055;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.3376147;3.211716;17.42401;-0.9974258;-0.007950553;-0.07126406;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.1837647;3.101528;17.69992;-0.9105631;-0.00106174;-0.4133689;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.1778729;3.001898;17.70167;-0.9807857;4.086655e-08;-0.1950886;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.3311147;3.037818;17.42464;-0.9807847;6.190354e-08;0.1950931;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-1.125934;3.254695;17.47355;-0.9514531;0.3077939;0.0;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.6103381;2.941951;16.95593;-0.9021249;0.0;-0.431475;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.6158916;2.887598;16.96754;-0.9021249;0.0;-0.431475;-1.539114;3.393607;17.43587;7.982857;81.48282;-4.31064e-07
-0.3255707;3.143225;17.41441;0.1900152;-0.001062179;-0.9817805;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.3190581;3.223454;17.419;0.8219238;-0.0009560841;-0.5695966;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.3818162;3.29606;17.85167;-0.174878;0.05765475;-0.9829006;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.3267392;3.012025;17.42025;0.1950929;-1.667347e-07;-0.9807848;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.2997418;3.294729;17.85772;1.540234e-06;-1.979759e-07;-1.0;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.4396214;3.799544;21.00932;0.4601663;-0.0004756557;-0.8878326;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.2277765;3.035084;20.84727;0.4935602;0.0255509;-0.8693362;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.2568548;3.099698;17.85772;-1.324767e-06;-5.32238e-06;-1.0;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-2.539657;4.207637;19.83254;0.5796133;0.000287585;-0.8148916;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-3.725034;4.806652;21.48372;0.2433929;0.151593;-0.9580081;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
1.723461;4.15925;-3.839796;-0.6943472;0.09594029;-0.7132163;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.981829;4.181857;-3.755828;-0.6919256;0.1511322;0.7059732;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.792947;4.103641;-3.893902;-0.8303533;0.08973181;-0.5499651;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.757261;4.101796;-3.953581;-0.7228459;0.0446389;0.689566;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.637946;4.151227;-3.757623;-0.6943472;0.09594029;-0.7132163;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
2.84604;4.19727;-2.8859;-0.9955345;0.09366925;0.01171229;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
6.055831;4.105232;1.480077;-0.8710645;-4.371141e-08;-0.4911686;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
6.061815;3.519517;1.469466;-0.8710645;-4.371141e-08;-0.4911686;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.630555;4.091953;-3.758401;-0.6943472;0.09594029;-0.7132163;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.672866;4.036866;-3.807002;-0.6943472;0.09594029;-0.7132163;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
2.310053;5.504236;20.71855;0.7100189;-0.08420126;-0.6991305;2.855056;5.584916;20.66557;13.16326;258.201;0.0
-0.2249837;5.125307;20.84917;0.4935602;0.02555105;-0.8693363;2.855056;5.584916;20.66557;13.16326;258.201;0.0
1.889065;5.378974;20.04085;0.7104697;-0.0105641;0.7036484;2.855056;5.584916;20.66557;13.16326;258.201;0.0
1.851535;5.691206;20.08322;0.7088357;-0.01031432;0.7052982;2.855056;5.584916;20.66557;13.16326;258.201;0.0
-2.727256;6.183732;17.55501;0.8710645;4.371141e-08;0.4911686;2.855056;5.584916;20.66557;13.16326;258.201;0.0
9.284792;2.703539;3.537769;0.4350317;-0.0005794714;-0.9004149;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
9.031386;3.025455;3.331535;0.4909577;0.02988441;-0.8706707;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
8.328281;2.798293;3.08344;0.8679885;-0.0006783398;0.4965839;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
5.207166;3.039294;3.93015;0.8719479;0.02554425;0.4889319;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
5.415393;2.917464;3.114407;0.8710645;4.371141e-08;0.4911686;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
8.253205;2.775972;2.95132;0.5412217;0.001635646;-0.8408783;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
-3.584357;5.317025;10.48942;0.6297148;0.05437203;-0.7749213;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
4.239028;3.38159;5.218252;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
3.289586;3.999814;6.959481;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
2.337143;4.241138;8.617686;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
8.705576;3.050777;3.149034;0.4903185;-0.002131168;-0.8715407;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
4.227937;5.356062;5.211998;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
4.268086;4.002036;5.234637;0.4911686;-2.664535e-14;-0.8710645;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
8.3236;2.575412;3.091318;0.8679885;-0.0006783398;0.4965839;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
5.20132;2.1738;3.922409;0.6136423;0.71067;0.3440804;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
